,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
1,688177,百奥泰,20.02,25.18,25.18,20.93,20.93,4.2,4.15,5.65,-30.59,44602,107748162.0,20.98,10426534400,2707943391,1.688177,沪A,2022-11-07 15:59:47,2022-11-07
2,300710,万隆光电,20.01,33.34,33.34,27.99,27.99,5.56,9.79,4.49,623.32,64146,201620791.36,27.78,3317006602,2183457171,0.300710,深A,2022-11-07 15:34:45,2022-11-07
3,301319,唯特偶,20.0,62.82,62.82,55.06,55.99,10.47,28.41,1.97,43.62,39492,242622765.41,52.35,3683764800,873379236,0.301319,深A,2022-11-07 15:34:24,2022-11-07
4,300364,中文在线,19.98,9.61,9.61,7.96,7.96,1.6,14.29,2.06,-43.07,928883,827267306.81,8.01,7070523951,6246993051,0.300364,深A,2022-11-07 15:34:36,2022-11-07
6,300698,万马科技,16.79,32.07,32.4,27.45,27.54,4.61,8.16,3.48,261.08,100882,306751990.15,27.46,4297380000,3962920142,0.300698,深A,2022-11-07 15:34:21,2022-11-07
7,300199,翰宇药业,14.69,14.83,15.0,13.33,13.73,1.9,14.48,1.56,-69.48,1013494,1455573403.88,12.93,13598028003,10376840437,0.300199,深A,2022-11-07 15:34:27,2022-11-07
8,301208,中亦科技,14.18,59.35,61.98,52.08,52.08,7.37,29.94,1.92,40.44,49893,291071444.46,51.98,3956668645,989168645,0.301208,深A,2022-11-07 15:34:36,2022-11-07
9,688302,海创药业-U,14.16,50.0,51.0,42.52,42.52,6.2,12.12,3.16,-16.69,28806,138207017.0,43.8,4950779900,1188480000,1.688302,沪A,2022-11-07 15:59:35,2022-11-07
10,839167,同享科技,13.54,13.92,14.5,12.31,13.07,1.66,3.12,3.66,29.87,18470,25475339.1,12.26,1521734400,822776400,0.839167,深A,2022-11-07 15:33:29,2022-11-07
11,300323,华灿光电,13.5,8.41,8.8,7.88,7.99,1.0,11.12,4.63,-190.08,1020864,847169382.98,7.41,10430388570,7720268231,0.300323,深A,2022-11-07 15:34:54,2022-11-07
12,688379,华光新材,13.16,18.4,18.95,16.26,16.36,2.14,8.67,8.16,-93.33,39752,71139114.0,16.26,1619200000,844008000,1.688379,沪A,2022-11-07 15:59:50,2022-11-07
13,300092,科新机电,12.88,13.93,14.78,12.71,12.8,1.59,16.05,2.62,26.09,268835,371936550.43,12.34,3226174070,2333024051,0.300092,深A,2022-11-07 15:34:18,2022-11-07
14,300065,海兰信,12.22,14.05,14.4,12.46,12.52,1.53,9.62,2.62,1108.71,593575,800855165.52,12.52,9749283563,8667290155,0.300065,深A,2022-11-07 15:34:33,2022-11-07
15,300081,恒信东方,12.09,7.88,8.21,6.99,7.09,0.85,16.89,1.6,-28.57,830797,626609665.99,7.03,4765787886,3876667613,0.300081,深A,2022-11-07 15:34:57,2022-11-07
16,300786,国林科技,11.41,15.92,16.3,14.33,14.38,1.63,7.49,4.82,181.69,102728,161474380.81,14.29,2929532794,2183049008,0.300786,深A,2022-11-07 15:34:09,2022-11-07
17,688386,泛亚微透,11.4,56.98,60.98,54.17,57.99,5.83,6.84,2.58,69.89,32372,184122843.0,51.15,3988600000,2698657586,1.688386,沪A,2022-11-07 15:59:53,2022-11-07
18,301326,捷邦科技,11.09,48.88,48.88,44.25,45.0,4.88,24.73,2.69,33.22,39486,186011662.75,44.0,3528785433,780480060,0.301326,深A,2022-11-07 15:34:42,2022-11-07
19,300031,宝通科技,11.03,16.71,17.24,15.1,15.17,1.66,10.38,1.67,51.23,358410,577689948.54,15.05,6883998999,5768432247,0.300031,深A,2022-11-07 15:34:48,2022-11-07
20,300554,三超新材,10.65,24.0,25.0,21.72,21.78,2.31,26.03,3.26,493.23,199293,473995594.21,21.69,2515901952,1837198440,0.300554,深A,2022-11-07 15:34:45,2022-11-07
21,300338,ST开元,10.37,4.47,4.48,4.02,4.02,0.42,10.79,1.38,16.89,319400,137692787.64,4.05,1518100023,1323100404,0.300338,深A,2022-11-07 15:35:00,2022-11-07
